,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
0,85457961,2018,2018-02-25 10:35,1.0,1,5,30.47814,-84.34673,INTERSTATE 10 EB (SR-8),,MISSION ROAD,POINT (-84.34672999999999 30.47814)
1,86964499,2018,2018-02-02 20:11,1.0,1,1,30.419151,-84.349328,W ORANGE AVE,,CAPITAL CIR SW,POINT (-84.349328 30.419151)
4,86965185,2018,2018-02-27 09:55,1.0,1,1,30.450177,-84.337871,APPLEYARD DR,,EAGLES POINT TOWNHOMES,POINT (-84.33787100000001 30.450177)
5,87164919,2018,2018-03-06 03:15,1.0,1,1,30.5941247753799,-84.1221261117607,COUNTY ROAD 151,,COUNTY ROAD 0343,POINT (-84.12212611176071 30.5941247753799)
8,87193755,2018,2018-03-29 18:15,1.0,1,1,30.462991995737,-84.0820259973407,COUNTY ROAD 1568 (BUCK LAKE ROAD),,COUNTY ROAD 1541 (BAUM ROAD),POINT (-84.08202599734069 30.462991995737)
9,87836422,2018,2018-04-23 06:48,1.0,1,1,30.423007,-84.237169,OLD SAINT AUGUSTINE RD,,HENDRIX RD,POINT (-84.23716899999999 30.423007)
11,87837721,2018,2018-06-14 12:00,1.0,1,1,30.458718,-84.232038,MAHAN DR,,FORT KNOX BLVD,POINT (-84.232038 30.458718)
12,87146807,2018,2018-06-22 18:25,1.0,1,1,30.3393416572362,-84.3196073547006,US 319 (CRAWFORDVILLE HWY),,GLOVER ROAD,POINT (-84.31960735470059 30.3393416572362)
13,87227483,2018,2018-06-23 19:40,1.0,1,1,30.53586,-84.02013,COUNTY ROAD 142 (OLD MAGNOLIA  ROAD),,RING OAK LANE,POINT (-84.02012999999999 30.53586)
14,87164960,2018,2018-06-25 20:15,1.0,1,1,30.4913,-84.28225,INTERSTATE 10,,MILE MARKER 201 WESTBOUND,POINT (-84.28225 30.4913)
16,87839164,2018,2018-08-15 16:53,1.0,1,1,30.4656,-84.229648,CAPITAL CIR NE,,EXETER RD,POINT (-84.229648 30.4656)
17,87839143,2018,2018-08-14 20:05,1.0,1,1,30.441324,-84.33126,W PENSACOLA ST,,FLAMINGO WAY,POINT (-84.33126 30.441324)
18,87839125,2018,2018-08-14 09:44,1.0,1,1,30.537139,-84.230956,OX BOTTOM RD,,THOMASVILLE RD,POINT (-84.23095600000001 30.537139)
19,87839865,2018,2018-09-09 00:31,1.0,1,1,30.441279,-84.261672,MAGNOLIA DR,,E PARK AVE,POINT (-84.261672 30.441279)
20,87839648,2018,2018-09-01 04:25,1.0,1,1,30.447233,-84.300558,SR-20,929,,POINT (-84.300558 30.447233)
21,87193420,2018,2018-10-06 01:20,1.0,1,5,30.347901571311,-84.3106535313063,STATE ROAD 61 S,,US 319 (CRAWFORDVILLE HIGHWAY),POINT (-84.3106535313063 30.347901571311)
22,88003673,2018,2018-10-30 03:30,1.0,1,1,30.388609167245,-84.5767803177986,SR 267 (BLOXHAM CUTOFF),,SR 20,POINT (-84.57678031779859 30.388609167245)
23,87841991,2018,2018-11-14 07:55,1.0,1,1,30.435218,-84.284329,S BRONOUGH ST,,W GAINES ST,POINT (-84.284329 30.435218)
25,87183108,2018,2018-11-08 22:18,1.0,1,1,30.38164,-84.3445,COUNTY ROAD 2203 ( SPRINGHILL ROAD),,LONNIE GRAY ROAD,POINT (-84.3445 30.38164)
26,87232649,2018,2018-11-14 01:54,1.0,1,3,30.4824530153584,-84.3089858253796,INTERSTATE 10 (STATE ROAD 8),,U.S. 27 (STATE ROAD 63),POINT (-84.30898582537959 30.4824530153584)
27,87274461,2018,2018-11-13 17:50,1.0,1,0,30.48422,-84.04401,JEFFERSON ROAD,,WARNELL LANE,POINT (-84.04401 30.48422)
29,85569556,2018,2018-12-10 11:00,1.0,1,1,30.4979558493699,-84.1779419190847,INTERSTATE 10 (STATE ROAD 8) EB,,US HIGHWAY 90 (STATE ROAD 10),POINT (-84.1779419190847 30.4979558493699)
30,87842487,2018,2018-12-01 17:10,1.0,1,1,30.419711,-84.350319,SW CAPITAL CIR,495,,POINT (-84.350319 30.419711)
31,87843178,2018,2018-12-26 03:30,1.0,1,0,30.427736,-84.312063,ROBERTS AVE,,STUCKEY AVE,POINT (-84.31206299999999 30.427736)
32,87183099,2018,2018-09-14 13:49,1.0,1,1,30.46334,-84.36109,STATE ROAD 263 (CAPITAL CIRCLE),,THARPE STREET,POINT (-84.36109 30.46334)
33,88111357,2019,2019-04-19 08:10,1.0,1,1,30.4973820813592,-84.1932494693292,INTERSTATE 10 (STATE ROAD 8),,MILE MARKER 207,POINT (-84.1932494693292 30.4973820813592)
34,88092910,2019,2019-04-04 23:38,1.0,1,2,30.50174,-84.25136,INTERSTATE 10 (STATE ROAD 8),,STATE ROAD 61,POINT (-84.25136000000001 30.50174)
35,87259028,2019,2019-02-02 13:00,1.0,1,1,30.5494,-84.3786,US HWY 319 (STATE ROAD 63),,FAMILY TREE DRIVE,POINT (-84.37860000000001 30.5494)
36,87249955,2019,2019-07-19 16:37,1.0,1,5,30.48561,-84.29766,INTERSTATE 10 EASTBOUND,,MILE MARKER 199,POINT (-84.29765999999999 30.48561)
37,87843520,2019,2019-01-07 09:53,1.0,1,1,30.448334,-84.278324,N GADSDEN ST,,E GEORGIA ST,POINT (-84.278324 30.448334)
38,89141275,2019,2019-05-23 09:20,1.0,1,1,30.448849,-84.312782,W CALL ST,,W TENNESSEE ST,POINT (-84.312782 30.448849)
39,89140746,2019,2019-05-02 02:25,1.0,1,0,30.426866,-84.261912,S MAGNOLIA DR,,CHEROKEE DR,POINT (-84.261912 30.426866)
40,88068970,2019,2019-12-28 19:45,1.0,1,1,30.3214,-84.2555,COUNTY ROAD 2204 (OAK RIDGE RD E),,WINTERBERRY WAY,POINT (-84.2555 30.3214)
41,87845295,2019,2019-03-17 11:00,1.0,2,3,672,30.444892,2,W TENNESSEE ST,,POINT (30.444892 672)
42,89298559,2019,2019-12-15 05:00,1.0,1,1,30.514436,-84.350832,OLD BAINBRIDGE RD,4589,,POINT (-84.350832 30.514436)
43,89140585,2019,2019-04-27 03:20,1.0,1,1,30.498312,-84.334174,OLD BAINBRIDGE RD,,FRED GEORGE RD,POINT (-84.334174 30.498312)
44,88109678,2019,2019-04-01 21:35,1.0,1,1,30.4641959008682,-84.155877982111,BUCK LAKE ROAD,,ALAMEDA ROAD,POINT (-84.15587798211099 30.4641959008682)
45,88060356,2019,2019-05-29 10:35,1.0,1,1,30.4337858234877,-84.1278522264374,EB ROAD TO THE LAKE ROAD,,CHAIRES CROSS ROAD,POINT (-84.1278522264374 30.4337858234877)
46,89145912,2019,2019-11-16 17:14,1.0,1,1,30.419912,-84.284114,PALMETTO ST,,BROAD ST,POINT (-84.284114 30.419912)
47,89144571,2019,2019-10-02 13:23,1.0,1,1,30.473519,-84.233652,CAPITAL CIR NE,,CAPITAL MEDICAL BLVD,POINT (-84.23365200000001 30.473519)
48,85520240,2019,2019-03-02 10:54,1.0,1,1,30.5430349800736,-84.2070799693465,WHIRL A WAY TRAIL,,CARRY BACK ROAD,POINT (-84.20707996934649 30.5430349800736)
49,85601435,2019,2019-01-26 14:55,1.0,1,1,30.5025679798086,-84.3284826127763,CROWDER RD,,U.S. 27 (STATE ROAD 63,POINT (-84.3284826127763 30.5025679798086)
50,87105356,2019,2019-12-30 21:10,1.0,1,1,30.3126562488682,-84.3420227902243,UNITED STATES HIGHWAY 319,,WILDFLOWER ROAD,POINT (-84.34202279022431 30.3126562488682)
