report_number,crash_year,crash_date_time,report_date_time,investigating_agency_rep_num,form_type,total_number_of_vehicles,total_number_of_persons,total_number_of_narratives,county_code,city_code,county_name,city_name,rural_or_urban,notified_time,dispatched_time,arrived_time,cleared_time,completed_flag,reason_not_completed,notified_by,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,type_of_shoulder,type_of_intersection,photos_taken_flag,light_condition,weather_condition,road_surface_condition,school_bus_related_code,type_of_impact,first_harmful_event,harmful_event_location,interchange_flag,junction_flag,road_circumstances_1,road_circumstances_2,road_circumstances_3,environment_circumstances_1,environment_circumstances_2,environment_circumstances_3,work_zone_related_flag,location_within_zone,type_of_work_zone,workers_present,law_enforcement_present,investigator_id,investigator_rank,investigator_first_name,investigator_middle_name,investigator_last_name,investigator_suffix,investigating_agency_name,investigating_agency_type,load_dt90838674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,88,1,1,1,1,32,2,88,1,1,,,1,,,1,,,,,217,DEPUTY,,,EPLHASE,,LEON COUNTY,2,2011-03-08 15:54
71898161,2010,2010-12-29 15:12,2010-12-29 15:57,10040239,L,1,2,0,13,50,13,50,2,2010-12-29 15:16,2010-12-29 15:17,2010-12-29 15:21,2010-12-29 16:40,1,T.H.I. Call out,2,S Adams St,,3.042843,-8.428195,50,,E,Jakes and Patterson St,,4,3,7,2,1,1,1,1,77,10,1,,77,1,,,1,,,1,,,,,85160,Officer,,,,,Tallahassee Police Department,2,2011-03-22 09:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898147,2010,2010-12-27 21:24,2010-12-27 22:07,10040116,L,1,3,0,13,50,13,50,2,2010-12-27 21:24,2010-12-27 21:25,2010-12-27 21:27,2010-12-27 21:55,2,,2,N US 27 Hwy,,,,,,,Marianna Dr,,2,3,3,1,4,1,1,1,77,10,1,,3,1,,,1,,,1,,,,,98342,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898179,2010,2010-12-29 13:30,2010-12-29 15:20,10040229,L,1,2,0,13,50,13,50,2,2010-12-29 13:30,2010-12-29 13:32,2010-12-29 13:35,2010-12-29 14:28,2,,2,E Jefferson St,,3.043912,-8.428233,,,,,,4,3,77,1,1,1,1,1,77,10,1,1,77,77,,,1,,,1,,,,,51037,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73183686,2011,2011-01-11 22:51,2011-01-11 00:00,117536,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2011-01-11 22:51,2011-01-11 22:59,2011-01-11 23:07,2011-01-11 23:41,2,,1,SOUTH ADAMS STREET,3025,,,,,,,,5,3,1,1,4,2,1,1,3,10,1,1,1,1,,,1,,,1,,,,,332,DEP,THOMAS,,STRICKLAND,,LEON COUNTY SHERIFFS OFFICE,2,2011-03-08 17:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898241,2011,2011-01-02 23:55,2011-01-03 04:20,11000181,L,1,1,0,13,50,13,50,2,2011-01-02 23:55,2011-01-02 23:55,2011-01-02 23:55,2011-01-03 02:30,1,Hit and Run,2,Pullen Rd,1300,,,4,,S,Graduate Cir,,5,3,1,2,4,1,1,1,4,10,,1,,1,,,1,,,1,,,,,20311,Sergeant,,,,,Tallahassee Police Department,2,2011-04-02 07:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898238,2011,2011-01-02 19:07,2011-01-02 20:54,11000150,L,1,3,0,13,50,13,50,2,2011-01-02 19:10,2011-01-02 19:11,2011-01-02 19:13,2011-01-02 19:51,2,,2,Ocala Rd,800,,,,,,,,9,3,1,1,4,1,1,1,3,10,1,,,1,,,1,,,1,,,,,98074,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898360,2011,2011-01-07 14:15,2011-01-07 14:42,11000684,L,1,2,0,13,50,13,50,2,2011-01-07 14:16,2011-01-07 14:16,2011-01-07 14:19,2011-01-07 14:58,2,,1,N US 27 N Monroe Street Hwy,2227,,,,,,,,2,3,1,1,1,1,1,1,77,10,10,1,4,1,,,1,,,1,,,,,63006,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11868661,2011,2011-01-20 21:41,2011-01-21 02:20,11001952,L,1,1,0,13,50,13,50,2,2011-01-20 21:41,2011-01-20 21:43,2011-01-20 21:44,2011-01-20 22:30,1,Hit & Run Traffic Crash,2,Sebring Ct,910,,,500,,E,Country Club Dr,,5,1,1,1,4,2,1,1,77,10,2,,,1,,,1,,,1,,,,,87760,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898558,2011,2011-01-14 21:02,2011-01-15 00:00,11001371,L,1,3,0,13,50,13,50,2,2011-01-14 21:02,2011-01-14 21:02,2011-01-14 21:07,2011-01-14 21:22,2,,2,Maclay Rd,,,,5,,S,Thomasville US 319 Rd,,,,,1,4,1,1,1,3,10,1,1,,1,,,1,,,1,,,,,93851,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71898598,2011,2011-01-16 20:04,2011-01-16 20:37,11001566,L,1,2,0,13,50,13,50,2,2011-01-16 20:04,2011-01-16 20:05,2011-01-16 20:08,,1,THI callout,2,US 319,,,,,,,Timberlane Rd,,2,3,2,2,4,1,1,1,2,10,1,,18,1,,,1,,,1,,,,,93983,Officer,,,,,Tallahassee Police Department,2,2011-03-22 14:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
