report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
89139769,2019,2019-04-01 06:54,14,2,4,Capital Circle NE,,30.460549,-84.228057,153,,N,MAHAN DR,,5,14,1,EC2,,
89139772,2019,2019-04-01 07:05,10,1,4,PERKINS ST,,30.422255,-84.280553,,,,S MONROE ST,,5,10,1,EC2,,
89139785,2019,2019-04-01 07:25,14,2,3,Capital Circle SE,,30.4209,-84.228562,,,,OLD ST AUGUSTINE RD,,2,14,1,EC2,,
89139770,2019,2019-04-01 07:36,14,2,2,S Adams St,,30.41932,-84.282093,229,,S,PALMETTO ST,,5,14,1,EC2,,
89139765,2019,2019-04-01 07:59,14,2,2,Miccosukee Rd,,30.472058,-84.227207,52,,W,GINGER DR,,5,14,1,EC2,,
89139768,2019,2019-04-01 08:00,14,2,2,S Bronough St,,30.441836,-84.284336,,,,W PARK AVE,,5,14,1,EC2,,
89139766,2019,2019-04-01 08:03,14,2,2,N Mission Rd,,30.461383,-84.343276,10,,N,REXWOOD DR,,5,14,1,EC2,,
89139790,2019,2019-04-01 08:24,14,2,2,Thomasville Rd,,30.461021,-84.274388,496,,N,E 9TH AVE,,5,14,1,EC2,,
87505292,2019,2019-04-01 08:28,14,3,4,BANNERMAN RD,,,,0,,,THOMASVILLE RD,,4,14,1,EC2,,
87505287,2019,2019-04-01 08:32,14,2,2,TOWER RD,,,,400,,E,RUSSELL POND,,5,14,1,EC2,,
89139778,2019,2019-04-01 08:35,14,2,3,Capital Circle NE,,30.459562,-84.227999,148,,S,MAHAN DR,,5,14,1,EC2,,
89139773,2019,2019-04-01 08:50,39,1,2,N Magnolia Dr,1452,30.45884,-84.262272,,,,,,9,39,3,EC2,,
89139774,2019,2019-04-01 08:53,14,4,5,Capital Circle NE,,30.489688,-84.240643,203,,S,N POINT BLVD,,2,14,1,EC2,,
87505289,2019,2019-04-01 08:53,14,2,4,OLD SAINT AUGUSTINE RD,,,,0,,,HENDRIX DR,,4,14,1,EC2,,
85871807,2019,2019-04-01 08:56,14,2,2,EAST TENNESSEE STREET,,30.447514,-84.262026,,,,MAGNOLIA DRIVE,,2,14,1,PR2,,
89139776,2019,2019-04-01 09:07,24,1,1,Capital Circle SE,,30.43528,-84.226793,58,,S,HIGHLAND OAKS TER,,5,24,10,EC2,,
89139767,2019,2019-04-01 09:15,14,2,4,Jim Lee Rd,,30.412374,-84.264107,,,,E ORANGE AVE,,5,14,1,EC2,,
89139775,2019,2019-04-01 10:00,14,2,2,N Blair Stone Rd,,30.452471,-84.248529,,,,MAHAN DR,,5,14,1,EC2,,
89125665,2019,2019-04-01 10:30,15,2,1,PERRY STREET,,30.42888,-84.29186,30,,S,GAMBLE STREET,,5,15,2,EC2,,
89139777,2019,2019-04-01 10:44,14,2,2,N Monroe St,,30.448194,-84.280612,67,,N,E GEORGIA ST,,5,14,1,EC2,,
89139781,2019,2019-04-01 12:32,14,2,2,Merchants Row Blvd,,30.392463,-84.234043,356,,E,CAPITAL CIR SE,,5,14,1,EC2,,
89139784,2019,2019-04-01 13:00,14,2,2,W Tennessee St,,30.446643,-84.299307,309,,W,N WOODWARD AVE,,5,14,1,EC2,,
89139783,2019,2019-04-01 13:09,14,2,3,Appleyard Dr,445,30.446628,-84.337816,347,,S,THE LANDING AT APPLEYARD,,5,14,1,EC2,,
89139782,2019,2019-04-01 13:15,14,2,1,PARKING LOT OLD SAINT AUGUSTINE ROAD,1741,30.42856,-84.2503,,,,,,9,14,1,EC2,,
89139787,2019,2019-04-01 14:15,14,2,2,W Pensacola St,,30.440649,-84.317302,,,,S OCALA RD,,5,14,1,EC2,,
89139793,2019,2019-04-01 14:35,14,2,2,Capital Circle NE,,30.500054,-84.247653,93,,S,RAYMOND DIEHL RD,,5,14,1,EC2,,
89139792,2019,2019-04-01 14:35,14,2,3,Blair Stone Rd,,30.402575,-84.236694,207,,E,NEW VILLAGE AVE,,5,14,1,EC2,,
89139789,2019,2019-04-01 15:05,14,2,2,Killarney Way,,30.512628,-84.225257,23,,E,FOLEY DR,,5,14,1,EC2,,
89139791,2019,2019-04-01 15:25,14,2,4,Springhill Rd,,30.412781,-84.303204,,,,W ORANGE AVE,,5,14,1,EC2,,
89139821,2019,2019-04-01 15:44,14,2,2,W Tennessee St,,30.448795,-84.316782,96,,E,OCALA RD,,5,14,1,EC2,,
89139814,2019,2019-04-01 15:45,14,2,2,Osceola St,,30.421701,-84.29014,148,,W,W OSCEOLA ST,,5,14,1,EC2,,
