report_number,crash_year,role,person_number,home_zip,age,sex,injury_severity,vehicle_number,driver_distraction_code,driver_condition_code,driver_action_1,driver_action_2,driver_action_3,driver_action_4,non_motorist_description_code,location_code,action_prior_to_crash_code,action_code1,action_code2,crash_date_time,latitude,longitude
87505408,2019,D,1,32305,36,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-24T14:55:00Z,30.456964,-84.366811
87505410,2019,D,1,32303,67,1,1,1,88,88,2,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-25T16:10:00Z,NA,NA
89140109,2019,D,2,32312,40,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:05:00Z,30.445048,-84.261891
89140108,2019,D,1,32303,69,2,1,1,1,1,77,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:18:00Z,30.537475,-84.230509
89140108,2019,D,2,32312,79,2,1,2,1,1,77,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:18:00Z,30.537475,-84.230509
89140109,2019,D,1,32301,20,1,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:05:00Z,30.445048,-84.261891
89140110,2019,D,1,32327,22,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:18:00Z,30.437274,-84.26191
89140110,2019,D,2,32327,28,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T13:18:00Z,30.437274,-84.26191
89140220,2019,D,1,32309,34,1,1,1,1,1,77,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-15T09:28:00Z,30.449131,-84.280682
89140220,2019,D,2,32312,22,2,1,2,1,1,77,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-15T09:28:00Z,30.449131,-84.280682
89140222,2019,D,1,39828,60,1,1,1,1,1,25,3,NA,NA,NA,NA,NA,NA,NA,2019-04-15T11:43:00Z,30.512,-84.244946
89140222,2019,D,2,32312,68,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-15T11:43:00Z,30.512,-84.244946
89140224,2019,D,1,36301,53,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-15T10:30:00Z,30.427116,-84.229669
89140224,2019,D,2,9669,38,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-15T10:30:00Z,30.427116,-84.229669
89140193,2019,D,1,32304,22,2,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-13T20:53:00Z,30.436561,-84.289763
89140193,2019,D,2,32305,23,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-13T20:53:00Z,30.436561,-84.289763
