name,add1,add2,latitude,longitude,pctParent,pctChild,pctParentVoters1,pctChildVoters1,pctChildVoters2,pctChildVoters3,pctChildVoters4,Notes
John Wesley United Methodist Church,1689 Old St Augustine Rd,,30.4283399,-84.25104861,1203,5205,2560,921,0,0,0,
Good Samaritan United Methodist Church,3720 Capital Cir SE,"Tallahassee, FL 32311",,,1205,1251,1814,89,0,0,0,
Faith Christian Family Center,310 Laura Lee Ave,,30.40896086,-84.27766665,1255,,969,0,0,0,0,
Lincoln Neighborhood Center,438 W. Brevard St,,30.44974735,-84.28802184,1301,,1503,0,0,0,0,
FAMU Student Union,1628 S MLK Jr Blvd,"Tallahassee, FL 32307",,,1309,,1742,0,0,0,0,
Smith-Williams Service Center,2295 Pasco St,"Tallahassee, FL 32310",30.41825255,-84.29217222,1313,1312,"2,224","1,128",0,0,0,
Jacob Chapel Baptist Church,2333 Lake Bradford Rd,,30.41413966,-84.30518171,1315,1351 2355 2303,333,440,146,355,0,
Jake Gaither Community Center,801 Tanner Dr,,30.40487153,-84.29722939,1317,,1374,0,0,0,0,
Bethel AME Church,501 Orange Ave W,,30.4119769,-84.29053803,1319,,1903,0,0,0,0,
Jack L. McLean Center,700 Paul Russell Rd,,30.40771488,-84.27055877,1321,,4216,0,0,0,0,
Southwood Baptist Church,5177 Capital Circle SW,,30.37654024,-84.28634094,1355,1327 1359,1928,845,167,0,0,
Family Worship and Praise Center,1609 Branch St,,30.46048691,-84.28899523,1501,1502,890,833,0,0,0,
Lawrence-Gregory Community Center,1115 Dade St,,30.45490187,-84.29688952,1503,,2290,0,0,0,0,
Springfield Community Center,1702 Joe Louis St,,30.46055329,-84.30367673,1505,,2026,0,0,0,0,
Woodville Community Center,8000 Old Woodville Rd,,30.33181454,-84.25309369,2252,1257 1361 1362  2253,"1,228",838,"1,278",11,"1,662",
Aquilina Howell Conference Center,3955 W Pensacola St,"Tallahassee, FL 32304",,,2305,,"5,041",0,0,0,0,
Calvary the Cornerstone M.B. Church,1915 Dale St,"Tallahassee, FL 32310",,,2306,,"1,563",0,0,0,0,
Berean Christian Church Services,6214 Blountstown Hwy,,,,2359,,"2,055",0,0,0,0,
Crossway Baptist Church,405 Crossway Rd,,30.37731199,-84.29093536,2363,2307 2366,369,8,666,0,0,
Fort Braden Community Center,16387 Blountstown Hwy,,30.42597992,-84.53468212,2365,,"3,027",0,0,0,0,
Bethel Methodist Church,1470 Bethel Church Rd,,30.45809491,-84.39108671,2451,,"1,152",0,0,0,0,
Palmer Munroe Teen Center,1900 Jackson Bluff Rd,,30.43488021,-84.31486808,2502,1303 2504,930,616,"1,017",0,0,
FSU Student Services Building,875 Traditions Way,"Tallahassee, FL 32306",,,2503,1507 1302,"2,623","2,150","1,091",0,0,
Truth Gatherers Dream Center,1317 High Rd,,,,2507,,"3,641",0,0,0,0,
Mission San Luis,2100 W Tennessee St,,30.44869162,-84.31980544,2509,,"1,625",0,0,0,0,
Generations Church,3080 W. Tennessee St,,30.45645699,-84.34396336,2511,2380,"4,130",265,0,0,0,
Moose Lodge,1478 Capital Circle Nw,,30.46657618,-84.36223868,2513,2401,"1,605",566,0,0,0,
